Iteration	Residual_2norm
1	173.991392
2	173.976973
3	173.962554
4	173.948136
5	173.933717
6	173.919300
7	173.904883
8	173.890467
9	173.876052
10	173.861638
11	173.847225
12	173.832813
13	173.818403
14	173.803993
15	173.789584
16	173.775176
17	173.760770
18	173.746364
19	173.731960
20	173.717557
21	173.703155
22	173.688754
23	173.674354
24	173.659955
25	173.645558
26	173.631161
27	173.616766
28	173.602372
29	173.587979
30	173.573587
31	173.559197
32	173.544807
33	173.530419
34	173.516032
35	173.501646
36	173.487261
37	173.472877
38	173.458495
39	173.444113
40	173.429733
41	173.415354
42	173.400976
43	173.386599
44	173.372224
45	173.357850
46	173.343476
47	173.329104
48	173.314733
49	173.300364
50	173.285995
51	173.271628
52	173.257262
53	173.242897
54	173.228533
55	173.214170
56	173.199809
57	173.185449
58	173.171090
59	173.156732
60	173.142375
61	173.128019
62	173.113665
63	173.099312
64	173.084960
65	173.070609
66	173.056259
67	173.041911
68	173.027563
69	173.013217
70	172.998872
71	172.984529
72	172.970186
73	172.955844
74	172.941504
75	172.927165
76	172.912827
77	172.898491
78	172.884155
79	172.869821
80	172.855487
81	172.841155
82	172.826825
83	172.812495
84	172.798166
85	172.783839
86	172.769513
87	172.755188
88	172.740864
89	172.726542
90	172.712220
91	172.697900
92	172.683581
93	172.669263
94	172.654947
95	172.640631
96	172.626317
97	172.612004
98	172.597692
99	172.583381
100	172.569072
101	172.554763
102	172.540456
103	172.526150
104	172.511845
105	172.497541
106	172.483239
107	172.468937
108	172.454637
109	172.440338
110	172.426041
111	172.411744
112	172.397449
113	172.383154
114	172.368861
115	172.354569
116	172.340279
117	172.325989
118	172.311701
119	172.297414
120	172.283128
121	172.268843
122	172.254559
123	172.240277
124	172.225995
125	172.211715
126	172.197436
127	172.183159
128	172.168882
129	172.154607
130	172.140333
131	172.126060
132	172.111788
133	172.097517
134	172.083248
135	172.068979
136	172.054712
137	172.040446
138	172.026181
139	172.011918
140	171.997655
141	171.983394
142	171.969134
143	171.954875
144	171.940618
145	171.926361
146	171.912106
147	171.897852
148	171.883599
149	171.869347
150	171.855096
151	171.840847
152	171.826599
153	171.812351
154	171.798106
155	171.783861
156	171.769617
157	171.755375
158	171.741134
159	171.726894
160	171.712655
161	171.698417
162	171.684181
163	171.669945
164	171.655711
165	171.641478
166	171.627246
167	171.613016
168	171.598786
169	171.584558
170	171.570331
171	171.556105
172	171.541880
173	171.527657
174	171.513435
175	171.499213
176	171.484993
177	171.470775
178	171.456557
179	171.442340
180	171.428125
181	171.413911
182	171.399698
183	171.385486
