Iteration	Residual_2norm
1	15698.778334
2	15581.449698
3	15464.983008
4	15349.377891
5	15234.630796
6	15120.736924
7	15007.690914
8	14895.487110
9	14784.119706
10	14673.582813
11	14563.870501
12	14454.976825
13	14346.895842
14	14239.621622
15	14133.148252
16	14027.469847
17	13922.580550
18	13818.474536
19	13715.146013
20	13612.589225
21	13510.798453
22	13409.768013
23	13309.492261
24	13209.965590
25	13111.182432
26	13013.137257
27	12915.824573
28	12819.238930
29	12723.374914
30	12628.227150
31	12533.790303
32	12440.059075
33	12347.028208
34	12254.692480
35	12163.046710
36	12072.085751
37	11981.804499
38	11892.197882
39	11803.260868
40	11714.988464
41	11627.375709
42	11540.417682
43	11454.109497
44	11368.446306
45	11283.423295
46	11199.035685
47	11115.278736
48	11032.147738
49	10949.638020
50	10867.744944
51	10786.463908
52	10705.790341
53	10625.719709
54	10546.247511
55	10467.369278
56	10389.080576
57	10311.377004
58	10234.254192
59	10157.707804
60	10081.733536
61	10006.327115
62	9931.484303
63	9857.200890
64	9783.472698
65	9710.295582
66	9637.665427
67	9565.578147
68	9494.029690
69	9423.016030
70	9352.533175
71	9282.577159
72	9213.144049
73	9144.229939
74	9075.830953
75	9007.943245
76	8940.562995
77	8873.686413
78	8807.309739
79	8741.429238
80	8676.041205
81	8611.141961
82	8546.727855
83	8482.795266
84	8419.340595
85	8356.360274
86	8293.850759
87	8231.808534
88	8170.230109
89	8109.112020
90	8048.450828
91	7988.243121
92	7928.485512
93	7869.174638
94	7810.307163
95	7751.879775
96	7693.889187
97	7636.332136
98	7579.205383
99	7522.505716
100	7466.229943
101	7410.374899
102	7354.937440
103	7299.914447
104	7245.302825
105	7191.099501
106	7137.301425
107	7083.905569
108	7030.908930
109	6978.308525
110	6926.101395
111	6874.284601
112	6822.855228
113	6771.810382
114	6721.147190
115	6670.862802
116	6620.954388
117	6571.419139
118	6522.254267
119	6473.457007
120	6425.024612
121	6376.954355
122	6329.243533
123	6281.889460
124	6234.889470
125	6188.240920
126	6141.941182
127	6095.987653
128	6050.377744
129	6005.108890
130	5960.178542
131	5915.584172
132	5871.323270
133	5827.393343
134	5783.791921
135	5740.516549
136	5697.564790
137	5654.934228
138	5612.622462
139	5570.627111
140	5528.945812
141	5487.576217
142	5446.515998
143	5405.762844
144	5365.314461
145	5325.168572
146	5285.322916
147	5245.775251
148	5206.523351
149	5167.565005
150	5128.898020
151	5090.520221
152	5052.429445
153	5014.623549
154	4977.100403
155	4939.857897
156	4902.893932
157	4866.206428
158	4829.793319
159	4793.652555
160	4757.782100
161	4722.179937
162	4686.844059
163	4651.772477
164	4616.963216
165	4582.414317
166	4548.123833
167	4514.089835
168	4480.310405
169	4446.783642
170	4413.507657
171	4380.480577
172	4347.700542
173	4315.165705
174	4282.874236
175	4250.824314
176	4219.014135
177	4187.441909
178	4156.105856
179	4125.004212
180	4094.135225
181	4063.497156
182	4033.088281
183	4002.906886
184	3972.951272
185	3943.219751
186	3913.710649
187	3884.422303
188	3855.353064
189	3826.501295
190	3797.865370
191	3769.443676
192	3741.234613
193	3713.236591
194	3685.448033
195	3657.867374
196	3630.493060
197	3603.323549
198	3576.357310
199	3549.592825
200	3523.028585
201	3496.663094
202	3470.494866
203	3444.522428
204	3418.744315
205	3393.159076
206	3367.765269
207	3342.561463
208	3317.546239
209	3292.718186
210	3268.075906
211	3243.618010
212	3219.343121
213	3195.249870
214	3171.336900
215	3147.602863
216	3124.046422
217	3100.666249
218	3077.461027
219	3054.429448
220	3031.570215
221	3008.882039
222	2986.363641
223	2964.013752
224	2941.831113
225	2919.814474
226	2897.962594
227	2876.274241
228	2854.748192
229	2833.383235
230	2812.178166
231	2791.131788
232	2770.242917
233	2749.510373
234	2728.932990
235	2708.509607
236	2688.239072
237	2668.120243
238	2648.151986
239	2628.333175
240	2608.662694
241	2589.139432
242	2569.762291
243	2550.530176
244	2531.442004
